CantidadDatos,MergeSort,QuickSort,BubbleSort,SelectionSort,InsertionSort,ShellSort,CocktailSort
1000,0,0,4,1,0,0,4
2000,0,0,20,4,2,0,16
3000,0,0,46,10,6,0,37
4000,0,0,83,31,16,0,68
5000,1,0,129,28,17,0,106
6000,1,1,185,41,24,0,146
7000,1,1,254,56,34,1,205
8000,1,1,334,72,44,1,269
9000,1,1,417,91,58,1,341
10000,2,1,512,113,73,1,425
11000,2,1,628,139,87,1,516
12000,2,2,752,165,106,2,615
13000,2,2,883,198,124,2,719
14000,2,2,1024,225,141,2,824
15000,2,2,1172,264,162,2,951
16000,3,2,1345,292,181,3,1072
17000,3,2,1510,328,209,3,1216
18000,3,2,1687,366,229,3,1361
19000,3,3,1884,409,255,3,1515
20000,4,3,2097,453,284,3,1682
21000,4,3,2316,501,313,4,1855
22000,4,3,2538,549,343,4,2035
23000,4,4,2781,601,376,4,2233
24000,4,4,3024,655,410,4,2437
25000,5,4,3283,711,447,5,2707
26000,5,4,3553,769,481,5,2858
27000,5,5,3826,835,519,5,3079
28000,5,5,4116,895,558,5,3316
29000,5,5,4410,959,607,5,3554
30000,6,5,4730,1026,641,5,3822
31000,6,5,5035,1097,685,5,4071
32000,6,6,5380,1172,732,6,4344
33000,6,6,5733,1245,779,7,4631
34000,7,7,6093,1323,828,6,4916
35000,7,8,6310,1376,861,7,5205
36000,7,7,7203,1724,954,7,5920
37000,7,7,7444,1657,1052,9,6643
38000,8,7,8118,1736,1087,8,6617
39000,8,8,8274,1809,1116,8,6572
40000,8,8,9079,1973,1198,9,7168
41000,8,9,9195,2039,1250,10,7329
42000,9,9,9766,2143,1324,9,7850
43000,9,9,10272,2230,1391,9,8303
44000,9,10,10347,2249,1400,9,9016
45000,10,10,11170,2383,1495,9,8845
46000,9,10,11326,2475,1536,9,9139
47000,10,11,11793,2577,1600,9,9563
48000,10,10,13035,2776,1702,10,10272
49000,10,11,12887,2789,1733,10,10489
50000,14,15,19378,3054,1947,16,15627
51000,14,15,18721,3873,2140,17,12627
52000,11,12,16028,3418,2215,12,13827
53000,12,15,17025,3521,2217,11,13844
54000,12,16,17058,3624,2245,12,13766
55000,13,15,17574,3974,2407,12,15453
56000,18,19,18282,4103,2549,15,15318
57000,12,13,19498,4106,2564,12,16071
58000,13,14,20562,4490,2765,13,16694
59000,13,13,21894,4737,3289,18,17570
60000,14,14,22935,4891,3486,15,17558
61000,14,17,25952,5274,2939,13,21853
62000,39,49,28581,7069,4895,20,18922
63000,14,15,23668,4993,3177,14,20193
64000,18,17,35049,7529,3349,17,19873
65000,17,19,23814,5313,3265,15,19243
66000,15,17,24528,5342,4038,15,21620
67000,17,18,25189,5621,6693,14,22936
68000,16,17,33069,5981,3708,17,22261
69000,19,18,27956,6017,3601,15,21799
70000,18,17,28542,5901,3634,16,21574
71000,16,18,27307,5973,3709,15,22141
72000,16,20,27937,6086,3790,16,22621
73000,16,18,28634,6240,3886,16,23321
74000,17,18,30530,6380,3987,17,23806
75000,16,20,29974,6553,4135,17,24486
76000,17,19,32350,6750,4222,17,25171
77000,18,19,31540,6921,4309,17,25744
78000,17,19,33728,7090,4425,18,26325
79000,17,22,33192,7267,4573,17,27028
80000,17,20,35352,7437,4632,19,27644
81000,18,20,34791,7626,4753,19,28386
82000,19,22,37138,7808,4877,22,29008
83000,18,23,36616,7996,4984,20,29805
84000,18,22,38903,8194,5106,19,30851
85000,18,21,38307,8440,5244,21,31332
86000,18,23,41169,8672,5352,19,31963
87000,21,22,40060,8752,8555,18,33246
88000,20,23,41052,8982,9089,20,34830
89000,19,24,42037,9168,8983,19,34894
90000,20,24,42857,9387,9508,20,36512
91000,20,26,43933,9589,9421,20,36120
92000,20,25,44909,9805,9961,20,38061
93000,20,25,45803,10021,9864,20,37974
94000,20,25,47009,10236,10426,21,39822
95000,19,25,47838,10456,9503,21,39591
96000,21,26,48761,10689,11553,22,41480
97000,21,27,49928,10936,9967,21,41400
98000,23,28,51103,11116,12887,22,41949
99000,25,26,54213,11351,7112,24,42354
100000,23,29,52976,11660,7267,23,45081
101000,21,28,56253,11931,13397,22,44201
102000,24,30,54794,11978,11566,22,46391
103000,22,29,55724,12214,7611,23,46226
104000,40,43,57236,12463,9648,23,46310
105000,23,30,58345,12704,7927,24,47159
106000,22,31,59055,12931,8072,29,48917
