CantidadDatos,MergeSort,QuickSort
100000,20,28
200000,57,106
300000,107,194
400000,121,331
500000,151,444
600000,152,532
700000,197,720
800000,197,909
900000,253,1173
1000000,308,1571
1100000,328,1981
1200000,503,2560
1300000,520,3307
1400000,439,2775
1500000,385,3059
1600000,405,3514
1700000,587,4093
1800000,587,6489
1900000,569,4982
2000000,565,5243
2100000,544,5733
2200000,543,6371
2300000,629,6710
2400000,586,6987
2500000,584,7446
2600000,600,8156
2700000,689,8935
2800000,665,9826
2900000,695,10003
3000000,752,12818
